지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppb),평균 아산화질소(N2O) 배경대기농도(ppb),평균 염화불화탄소11(CFC11) 배경대기농도(ppt),평균 염화불화탄소12(CFC12) 배경대기농도(ppt),평균 염화불화탄소113(CFC113) 배경대기농도(ppt),평균 육불화황(SF6) 배경대기농도(ppt)
132,안면도(감),1999-01,373.1,,,,,,
132,안면도(감),1999-02,374,,315.2,266.9,534.1,,
132,안면도(감),1999-03,374.9,,314.6,267.5,535.1,,
132,안면도(감),1999-04,375.1,1869,314.2,266.7,534.7,,
132,안면도(감),1999-05,374,1863,314.6,268.6,535.1,,
132,안면도(감),1999-06,370.8,1851,315.6,269.1,533.7,,
132,안면도(감),1999-07,366.6,1844,316.3,268.6,533.7,,
132,안면도(감),1999-08,363.8,1837,316.4,267.9,538.6,,
132,안면도(감),1999-09,365.3,1865,314,267.4,537.1,,
132,안면도(감),1999-10,370,1888,312.1,269.8,538.2,,
132,안면도(감),1999-11,372.8,1864,313.7,267.6,537.9,,
132,안면도(감),1999-12,373.8,1868,313.8,265.8,537.4,,
132,안면도(감),2000-01,375.3,1864,312.6,266.5,537.4,,
132,안면도(감),2000-02,376.3,1878,313.4,265.8,539.4,,
132,안면도(감),2000-03,377.1,1888,313.6,264.3,539.2,,
132,안면도(감),2000-04,377.6,1875,314.1,265.5,539.4,,
132,안면도(감),2000-05,375.8,1859,315.4,266.9,540.2,,
132,안면도(감),2000-06,372.1,1840,315.4,267.4,538.5,,
132,안면도(감),2000-07,368.1,1827,315,270.3,538.2,,
132,안면도(감),2000-08,365.7,1819,314.5,270.7,,,
132,안면도(감),2000-09,367.5,1859,314.9,267.6,538.6,,
132,안면도(감),2000-10,372,1868,316.3,265.7,540.3,,
132,안면도(감),2000-11,375.2,,316.5,265.6,539.5,,
132,안면도(감),2000-12,376.7,,316.5,265.4,537.8,,
132,안면도(감),2001-01,377.8,,315.8,266,538.9,,
132,안면도(감),2001-02,378.8,,314.3,266.5,537.7,,
132,안면도(감),2001-03,379.5,,314.3,265.3,539.4,,
132,안면도(감),2001-04,379.8,,315.3,266.2,539.1,,
132,안면도(감),2001-05,378.8,1841,316,265.8,541.9,,
132,안면도(감),2001-06,375.2,1850,317,263.9,537.7,,
132,안면도(감),2001-07,370.2,1809,317.3,264.2,540.4,,
132,안면도(감),2001-08,367.8,1838,316.6,267.4,541.9,,
132,안면도(감),2001-09,369.7,1874,315.7,264.9,538.8,,
132,안면도(감),2001-10,374.2,1874,315.7,263.7,541.8,,
132,안면도(감),2001-11,377.6,1861,316.7,262.5,541.4,,
132,안면도(감),2001-12,378.3,1864,317.6,262.8,540,,
132,안면도(감),2002-01,379.4,1877,317.8,262.6,541.3,,
132,안면도(감),2002-02,380.5,1875,317.7,262.7,540.1,,
132,안면도(감),2002-03,380.6,1868,317.7,263.6,541.6,,
132,안면도(감),2002-04,381,1864,318.3,264.5,544,,
132,안면도(감),2002-05,380.3,1863,318.8,265.7,542.7,,
132,안면도(감),2002-06,376.9,1858,319,266.1,543.1,,
132,안면도(감),2002-07,372.7,1825,318.9,267,543.5,,
132,안면도(감),2002-08,369.9,1826,318.2,265.7,543.5,,
132,안면도(감),2002-09,371.8,1869,318,266.4,544.5,,
132,안면도(감),2002-10,376.9,1871,318,261.5,543.6,,
