기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : ,,,,
기간 : 1999~2023 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			1999-01",130,2.8,-1.6,8.3
"			1999-01",105,2.6,-1.2,7.3
"			1999-01",106,2.5,-1.9,7.3
"			1999-01",108,-0.8,-4.7,3.5
"			1999-01",112,-0.6,-4.5,3.8
"			1999-01",114,-2.4,-7.7,3.6
"			1999-01",90,1.8,-2.3,5.9
"			1999-01",95,-4.2,-10.3,2
"			1999-01",98,-2.9,-8.4,3.2
"			1999-01",100,-5.8,-10.4,-0.6
"			1999-01",101,-3.1,-9,3.6
"			1999-01",164,2.4,-1,6.5
"			1999-01",294,2.6,-2,8.1
"			1999-01",295,2.3,-2.3,7.5
"			1999-01",256,0.5,-4.9,7.9
"			1999-01",187,6,2.4,10
"			1999-01",265,6,2.4,10
"			1999-01",281,-0.2,-6.2,6.4
"			1999-01",284,-0.7,-7.4,6.5
"			1999-01",285,0.4,-6,8.1
"			1999-01",288,0.6,-5.5,8.1
"			1999-01",289,0.8,-4.6,7.4
"			1999-01",271,-3.2,-10.5,5.1
"			1999-01",272,-1.7,-6.8,3.8
"			1999-01",273,-0.8,-5.6,4.7
"			1999-01",277,1.6,-2.9,6.7
"			1999-01",278,-2.1,-9.5,6.3
"			1999-01",279,0.2,-5.2,6.6
"			1999-01",247,-0.6,-6.8,6.7
"			1999-01",248,-1.5,-7.3,4.8
"			1999-01",260,1.7,-3.4,7.7
"			1999-01",261,2.6,-2.5,8.1
"			1999-01",262,2.4,-2.7,8
"			1999-01",236,0,-6,6.7
"			1999-01",238,-1.5,-7.8,5.6
"			1999-01",243,0.5,-4.2,5.9
"			1999-01",244,-2.3,-8.2,4.4
"			1999-01",245,0.9,-3.6,6
"			1999-01",212,-4.3,-10.6,3.1
"			1999-01",216,-3.5,-8.4,2.1
"			1999-01",221,-3.7,-10.3,3.3
"			1999-01",226,-1.5,-7.6,5.3
"			1999-01",232,-1.6,-7.8,4.6
"			1999-01",235,1.3,-2.8,5.7
"			1999-01",192,0.8,-5.2,8.2
"			1999-01",201,-2.3,-7.6,3
"			1999-01",202,-2.2,-7.7,3.7
"			1999-01",203,-2.3,-8,4.1
"			1999-01",211,-2.5,-8.7,4
"			1999-01",170,3.4,0,7.2
"			1999-01",184,6.8,4.1,9.5
"			1999-01",185,6.6,4.4,9.2
"			1999-01",188,6,2.4,10
"			1999-01",189,7.7,4.4,11.5
"			1999-01",156,1.9,-2.3,6.8
"			1999-01",159,4.3,0.4,9.1
"			1999-01",162,3.5,-1,9.2
"			1999-01",165,2.9,-0.3,6.9
"			1999-01",168,3.5,0,7.4
"			1999-01",169,4.6,2.7,7
"			1999-01",140,1.2,-2.3,4.9
"			1999-01",143,1.6,-2.8,6.8
"			1999-01",146,1,-3.4,6
"			1999-01",152,2.9,-1.3,8
"			1999-01",155,3.3,-1.2,8.5
"			1999-01",131,-0.6,-5.3,4.9
"			1999-01",133,-0.3,-5.2,5.3
"			1999-01",135,-0.9,-5.6,4.9
